Image 0: Predicted - Ancistrus, Actual - Ancistrus
Image 131: Predicted - Astyanax, Actual - Astyanax
Image 132: Predicted - Astyanax, Actual - Astyanax
Image 133: Predicted - Astyanax, Actual - Astyanax
Image 134: Predicted - Astyanax, Actual - Astyanax
Image 135: Predicted - Astyanax, Actual - Astyanax
Image 136: Predicted - Astyanax, Actual - Astyanax
Image 137: Predicted - Astyanax, Actual - Astyanax
Image 138: Predicted - Astyanax, Actual - Astyanax
Image 139: Predicted - Astyanax, Actual - Astyanax
Image 140: Predicted - Astyanax, Actual - Astyanax
Image 141: Predicted - Astyanax, Actual - Astyanax
Image 142: Predicted - Astyanax, Actual - Astyanax
Image 143: Predicted - Astyanax, Actual - Astyanax
Image 144: Predicted - Astyanax, Actual - Astyanax
Image 145: Predicted - Astyanax, Actual - Astyanax
Image 146: Predicted - Astyanax, Actual - Astyanax
Image 147: Predicted - Astyanax, Actual - Astyanax
Image 148: Predicted - Astyanax, Actual - Astyanax
Image 149: Predicted - Astyanax, Actual - Astyanax
Image 150: Predicted - Astyanax, Actual - Astyanax
Image 151: Predicted - Astyanax, Actual - Astyanax
Image 152: Predicted - Astyanax, Actual - Astyanax
Image 153: Predicted - Astyanax, Actual - Astyanax
Image 154: Predicted - Astyanax, Actual - Astyanax
Image 155: Predicted - Astyanax, Actual - Astyanax
Image 156: Predicted - Astyanax, Actual - Astyanax
Image 157: Predicted - Astyanax, Actual - Astyanax
Image 158: Predicted - Astyanax, Actual - Astyanax
Image 159: Predicted - Astyanax, Actual - Astyanax
Image 160: Predicted - Astyanax, Actual - Astyanax
Image 161: Predicted - Astyanax, Actual - Astyanax
Image 162: Predicted - Astyanax, Actual - Astyanax
Image 163: Predicted - Astyanax, Actual - Astyanax
Image 164: Predicted - Astyanax, Actual - Astyanax
Image 165: Predicted - Astyanax, Actual - Astyanax
Image 166: Predicted - Astyanax, Actual - Astyanax
Image 167: Predicted - Astyanax, Actual - Astyanax
Image 168: Predicted - Astyanax, Actual - Astyanax
Image 169: Predicted - Astyanax, Actual - Astyanax
Image 170: Predicted - Astyanax, Actual - Astyanax
Image 171: Predicted - Astyanax, Actual - Astyanax
Image 172: Predicted - Astyanax, Actual - Astyanax
Image 173: Predicted - Astyanax, Actual - Astyanax
Image 174: Predicted - Astyanax, Actual - Astyanax
Image 175: Predicted - Astyanax, Actual - Astyanax
Image 176: Predicted - Astyanax, Actual - Astyanax
Image 177: Predicted - Astyanax, Actual - Astyanax
Image 178: Predicted - Astyanax, Actual - Astyanax
Image 179: Predicted - Astyanax, Actual - Astyanax
Image 180: Predicted - Astyanax, Actual - Astyanax
Image 181: Predicted - Astyanax, Actual - Astyanax
Image 182: Predicted - Astyanax, Actual - Astyanax
Image 183: Predicted - Astyanax, Actual - Astyanax
Image 184: Predicted - Astyanax, Actual - Astyanax
Image 185: Predicted - Astyanax, Actual - Astyanax
Image 186: Predicted - Astyanax, Actual - Astyanax
Image 187: Predicted - Astyanax, Actual - Astyanax
Image 188: Predicted - Astyanax, Actual - Astyanax
Image 189: Predicted - Astyanax, Actual - Astyanax
Image 190: Predicted - Astyanax, Actual - Astyanax
Image 191: Predicted - Astyanax, Actual - Astyanax
Image 192: Predicted - Astyanax, Actual - Astyanax
Image 193: Predicted - Astyanax, Actual - Astyanax
Image 194: Predicted - Astyanax, Actual - Astyanax
Image 195: Predicted - Astyanax, Actual - Astyanax
Image 196: Predicted - Astyanax, Actual - Astyanax
Image 197: Predicted - Astyanax, Actual - Astyanax
Image 198: Predicted - Astyanax, Actual - Astyanax
Image 199: Predicted - Astyanax, Actual - Astyanax
Image 200: Predicted - Astyanax, Actual - Astyanax
Image 201: Predicted - Astyanax, Actual - Astyanax
Image 202: Predicted - Astyanax, Actual - Astyanax
Image 203: Predicted - Astyanax, Actual - Astyanax
Image 204: Predicted - Astyanax, Actual - Astyanax
Image 205: Predicted - Astyanax, Actual - Astyanax
Image 206: Predicted - Astyanax, Actual - Astyanax
Image 207: Predicted - Tetragonopterus, Actual - Astyanax
Image 208: Predicted - Astyanax, Actual - Astyanax
Image 209: Predicted - Astyanax, Actual - Astyanax
Image 210: Predicted - Astyanax, Actual - Astyanax
Image 211: Predicted - Astyanax, Actual - Astyanax
Image 212: Predicted - Astyanax, Actual - Astyanax
Image 213: Predicted - Astyanax, Actual - Astyanax
Image 214: Predicted - Astyanax, Actual - Astyanax
Image 215: Predicted - Astyanax, Actual - Astyanax
Image 216: Predicted - Astyanax, Actual - Astyanax
Image 217: Predicted - Astyanax, Actual - Astyanax
Image 218: Predicted - Astyanax, Actual - Astyanax
Image 219: Predicted - Astyanax, Actual - Astyanax
Image 220: Predicted - Astyanax, Actual - Astyanax
Image 221: Predicted - Astyanax, Actual - Astyanax
Image 222: Predicted - Astyanax, Actual - Astyanax
Image 223: Predicted - Moenkhausia, Actual - Astyanax
Image 224: Predicted - Hemigrammus, Actual - Astyanax
Image 225: Predicted - Astyanax, Actual - Astyanax
Image 226: Predicted - Astyanax, Actual - Astyanax
Image 227: Predicted - Knodus, Actual - Astyanax
Image 228: Predicted - Astyanax, Actual - Astyanax
Image 229: Predicted - Astyanax, Actual - Astyanax
Image 230: Predicted - Astyanax, Actual - Astyanax
Image 231: Predicted - Astyanax, Actual - Astyanax
Image 232: Predicted - Astyanax, Actual - Astyanax
Image 233: Predicted - Astyanax, Actual - Astyanax
Image 234: Predicted - Moenkhausia, Actual - Astyanax
Image 235: Predicted - Moenkhausia, Actual - Astyanax
Image 236: Predicted - Hemigrammus, Actual - Astyanax
Image 237: Predicted - Astyanax, Actual - Astyanax
Image 238: Predicted - Hemigrammus, Actual - Astyanax
Image 239: Predicted - Astyanax, Actual - Astyanax
Image 240: Predicted - Astyanax, Actual - Astyanax
Image 241: Predicted - Hyphessobrycon, Actual - Astyanax
Image 242: Predicted - Astyanax, Actual - Astyanax
Image 243: Predicted - Astyanax, Actual - Astyanax
Image 244: Predicted - Astyanax, Actual - Astyanax
Image 245: Predicted - Astyanax, Actual - Astyanax
Image 246: Predicted - Astyanax, Actual - Astyanax
Image 247: Predicted - Astyanax, Actual - Astyanax
Image 248: Predicted - Astyanax, Actual - Astyanax
Image 249: Predicted - Astyanax, Actual - Astyanax
Image 250: Predicted - Astyanax, Actual - Astyanax
Image 251: Predicted - Astyanax, Actual - Astyanax
Image 252: Predicted - Astyanax, Actual - Astyanax
Image 253: Predicted - Astyanax, Actual - Astyanax
Image 254: Predicted - Astyanax, Actual - Astyanax
Image 255: Predicted - Astyanax, Actual - Astyanax
Image 256: Predicted - Astyanax, Actual - Astyanax
Image 257: Predicted - Astyanax, Actual - Astyanax
Image 258: Predicted - Astyanax, Actual - Astyanax
Image 259: Predicted - Astyanax, Actual - Astyanax
Image 260: Predicted - Astyanax, Actual - Astyanax
Image 261: Predicted - Astyanax, Actual - Astyanax
Image 262: Predicted - Astyanax, Actual - Astyanax
Image 263: Predicted - Astyanax, Actual - Astyanax
Image 264: Predicted - Astyanax, Actual - Astyanax
Image 265: Predicted - Astyanax, Actual - Astyanax
Image 266: Predicted - Astyanax, Actual - Astyanax
Image 267: Predicted - Moenkhausia, Actual - Bario
Image 268: Predicted - Bario, Actual - Bario
Image 269: Predicted - Bario, Actual - Bario
Image 270: Predicted - Bario, Actual - Bario
Image 271: Predicted - Bario, Actual - Bario
Image 272: Predicted - Bario, Actual - Bario
Image 273: Predicted - Bario, Actual - Bario
Image 274: Predicted - Bario, Actual - Bario
Image 275: Predicted - Bario, Actual - Bario
Image 276: Predicted - Bario, Actual - Bario
Image 277: Predicted - Bario, Actual - Bario
Image 278: Predicted - Bario, Actual - Bario
Image 279: Predicted - Bario, Actual - Bario
Image 280: Predicted - Bario, Actual - Bario
Image 281: Predicted - Bario, Actual - Bario
Image 282: Predicted - Bario, Actual - Bario
Image 283: Predicted - Astyanax, Actual - Bario
Image 284: Predicted - Bario, Actual - Bario
Image 285: Predicted - Bario, Actual - Bario
Image 286: Predicted - Bario, Actual - Bario
Image 287: Predicted - Bario, Actual - Bario
Image 288: Predicted - Charax, Actual - Bario
Image 289: Predicted - Bario, Actual - Bario
Image 290: Predicted - Bario, Actual - Bario
Image 291: Predicted - Bario, Actual - Bario
Image 292: Predicted - Bario, Actual - Bario
Image 293: Predicted - Bario, Actual - Bario
Image 294: Predicted - Bario, Actual - Bario
Image 295: Predicted - Bario, Actual - Bario
Image 296: Predicted - Bario, Actual - Bario
Image 297: Predicted - Bario, Actual - Bario
Image 298: Predicted - Bario, Actual - Bario
Image 299: Predicted - Bario, Actual - Bario
Image 300: Predicted - Bario, Actual - Bario
Image 301: Predicted - Bario, Actual - Bario
Image 302: Predicted - Bario, Actual - Bario
Image 303: Predicted - Bario, Actual - Bario
Image 304: Predicted - Bario, Actual - Bario
Image 305: Predicted - Bario, Actual - Bario
Image 306: Predicted - Bario, Actual - Bario
Image 307: Predicted - Bario, Actual - Bario
Image 308: Predicted - Bario, Actual - Bario
Image 309: Predicted - Bario, Actual - Bario
Image 310: Predicted - Bario, Actual - Bario
Image 311: Predicted - Bario, Actual - Bario
Image 312: Predicted - Bario, Actual - Bario
Image 313: Predicted - Bario, Actual - Bario
Image 314: Predicted - Bario, Actual - Bario
Image 315: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 316: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 317: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 318: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 319: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 320: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 321: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 322: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 323: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 324: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 325: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 326: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 327: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 328: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 329: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 330: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 331: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 332: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 333: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 334: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 335: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 336: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 337: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 338: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 339: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 340: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 341: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 342: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 343: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 344: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 345: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 346: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 347: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 348: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 349: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 350: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 351: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 352: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 353: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 354: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 355: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 356: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 357: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 358: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 359: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 360: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 361: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 362: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 363: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 364: Predicted - Black Sea Sprat, Actual - Black Sea Sprat
Image 365: Predicted - Bryconops, Actual - Bryconops
Image 366: Predicted - Bryconops, Actual - Bryconops
Image 367: Predicted - Bryconops, Actual - Bryconops
Image 368: Predicted - Bryconops, Actual - Bryconops
Image 369: Predicted - Bryconops, Actual - Bryconops
Image 370: Predicted - Bryconops, Actual - Bryconops
Image 371: Predicted - Bryconops, Actual - Bryconops
Image 372: Predicted - Bryconops, Actual - Bryconops
Image 373: Predicted - Bryconops, Actual - Bryconops
Image 374: Predicted - Bryconops, Actual - Bryconops
Image 375: Predicted - Bryconops, Actual - Bryconops
Image 376: Predicted - Bryconops, Actual - Bryconops
Image 377: Predicted - Copella, Actual - Bryconops
Image 378: Predicted - Bryconops, Actual - Bryconops
Image 379: Predicted - Bryconops, Actual - Bryconops
Image 380: Predicted - Bryconops, Actual - Bryconops
Image 381: Predicted - Bryconops, Actual - Bryconops
Image 382: Predicted - Bryconops, Actual - Bryconops
Image 383: Predicted - Bryconops, Actual - Bryconops
Image 384: Predicted - Bryconops, Actual - Bryconops
Image 385: Predicted - Bryconops, Actual - Bryconops
Image 386: Predicted - Bryconops, Actual - Bryconops
Image 387: Predicted - Bryconops, Actual - Bryconops
Image 388: Predicted - Bryconops, Actual - Bryconops
Image 389: Predicted - Bryconops, Actual - Bryconops
Image 390: Predicted - Bryconops, Actual - Bryconops
Image 391: Predicted - Moenkhausia, Actual - Bryconops
Image 392: Predicted - Bryconops, Actual - Bryconops
Image 393: Predicted - Bryconops, Actual - Bryconops
Image 394: Predicted - Bryconops, Actual - Bryconops
Image 395: Predicted - Bryconops, Actual - Bryconops
Image 396: Predicted - Bryconops, Actual - Bryconops
Image 397: Predicted - Bryconops, Actual - Bryconops
Image 398: Predicted - Bryconops, Actual - Bryconops
Image 399: Predicted - Bryconops, Actual - Bryconops
Image 400: Predicted - Bryconops, Actual - Bryconops
Image 401: Predicted - Bryconops, Actual - Bryconops
Image 402: Predicted - Bryconops, Actual - Bryconops
Image 403: Predicted - Sorubim, Actual - Bryconops
Image 404: Predicted - Bryconops, Actual - Bryconops
Image 405: Predicted - Bryconops, Actual - Bryconops
Image 406: Predicted - Bryconops, Actual - Bryconops
Image 407: Predicted - Bryconops, Actual - Bryconops
Image 408: Predicted - Bryconops, Actual - Bryconops
Image 409: Predicted - Bryconops, Actual - Bryconops
Image 410: Predicted - Hemigrammus, Actual - Bryconops
Image 411: Predicted - Otocinclus, Actual - Bryconops
Image 412: Predicted - Hemigrammus, Actual - Bryconops
Image 413: Predicted - Hemigrammus, Actual - Bryconops
Image 414: Predicted - Hemigrammus, Actual - Bryconops
Image 415: Predicted - Bryconops, Actual - Bryconops
Image 416: Predicted - Hemigrammus, Actual - Bryconops
Image 417: Predicted - Bryconops, Actual - Bryconops
Image 418: Predicted - Bryconops, Actual - Bryconops
Image 419: Predicted - Bryconops, Actual - Bryconops
Image 420: Predicted - Bryconops, Actual - Bryconops
Image 421: Predicted - Bryconops, Actual - Bryconops
Image 422: Predicted - Bryconops, Actual - Bryconops
Image 423: Predicted - Bryconops, Actual - Bryconops
Image 424: Predicted - Bryconops, Actual - Bryconops
Image 425: Predicted - Bryconops, Actual - Bryconops
Image 426: Predicted - Bryconops, Actual - Bryconops
Image 427: Predicted - Hemigrammus, Actual - Bryconops
Image 428: Predicted - Creagrutus, Actual - Bryconops
Image 429: Predicted - Bryconops, Actual - Bryconops
Image 430: Predicted - Hemigrammus, Actual - Bryconops
Image 431: Predicted - Bryconops, Actual - Bryconops
Image 432: Predicted - Bryconops, Actual - Bryconops
Image 433: Predicted - Bryconops, Actual - Bryconops
Image 434: Predicted - Bryconops, Actual - Bryconops
Image 435: Predicted - Bryconops, Actual - Bryconops
Image 436: Predicted - Sorubim, Actual - Bryconops
Image 437: Predicted - Bryconops, Actual - Bryconops
Image 438: Predicted - Bryconops, Actual - Bryconops
Image 439: Predicted - Creagrutus, Actual - Bryconops
Image 440: Predicted - Hyphessobrycon, Actual - Bryconops
Image 441: Predicted - Bryconops, Actual - Bryconops
Image 442: Predicted - Bryconops, Actual - Bryconops
Image 443: Predicted - Bujurquina, Actual - Bujurquina
Image 444: Predicted - Bujurquina, Actual - Bujurquina
Image 445: Predicted - Bujurquina, Actual - Bujurquina
Image 446: Predicted - Bujurquina, Actual - Bujurquina
Image 447: Predicted - Bujurquina, Actual - Bujurquina
Image 448: Predicted - Bujurquina, Actual - Bujurquina
Image 449: Predicted - Bujurquina, Actual - Bujurquina
Image 450: Predicted - Bujurquina, Actual - Bujurquina
Image 451: Predicted - Bujurquina, Actual - Bujurquina
Image 452: Predicted - Bujurquina, Actual - Bujurquina
Image 453: Predicted - Bujurquina, Actual - Bujurquina
Image 454: Predicted - Bujurquina, Actual - Bujurquina
Image 455: Predicted - Bujurquina, Actual - Bujurquina
Image 456: Predicted - Bujurquina, Actual - Bujurquina
Image 457: Predicted - Bujurquina, Actual - Bujurquina
Image 458: Predicted - Bujurquina, Actual - Bujurquina
Image 459: Predicted - Bujurquina, Actual - Bujurquina
Image 460: Predicted - Bujurquina, Actual - Bujurquina
Image 461: Predicted - Bujurquina, Actual - Bujurquina
Image 462: Predicted - Corydoras, Actual - Bujurquina
Image 463: Predicted - Apistogramma, Actual - Bujurquina
Image 464: Predicted - Bujurquina, Actual - Bujurquina
Image 465: Predicted - Bujurquina, Actual - Bujurquina
Image 466: Predicted - Bujurquina, Actual - Bujurquina
Image 467: Predicted - Bujurquina, Actual - Bujurquina
Image 468: Predicted - Bujurquina, Actual - Bujurquina
Image 469: Predicted - Bujurquina, Actual - Bujurquina
Image 470: Predicted - Bujurquina, Actual - Bujurquina
Image 471: Predicted - Bujurquina, Actual - Bujurquina
Image 472: Predicted - Bujurquina, Actual - Bujurquina
Image 473: Predicted - Apistogramma, Actual - Bujurquina
Image 474: Predicted - Bujurquina, Actual - Bujurquina
Image 475: Predicted - Bujurquina, Actual - Bujurquina
Image 476: Predicted - Bujurquina, Actual - Bujurquina
Image 477: Predicted - Bujurquina, Actual - Bujurquina
Image 478: Predicted - Bujurquina, Actual - Bujurquina
Image 479: Predicted - Bujurquina, Actual - Bujurquina
Image 480: Predicted - Bujurquina, Actual - Bujurquina
Image 481: Predicted - Bujurquina, Actual - Bujurquina
Image 482: Predicted - Bujurquina, Actual - Bujurquina
Image 483: Predicted - Bujurquina, Actual - Bujurquina
Image 484: Predicted - Bujurquina, Actual - Bujurquina
Image 485: Predicted - Bujurquina, Actual - Bujurquina
Image 486: Predicted - Bujurquina, Actual - Bujurquina
Image 487: Predicted - Bujurquina, Actual - Bujurquina
Image 488: Predicted - Bujurquina, Actual - Bujurquina
Image 489: Predicted - Bujurquina, Actual - Bujurquina
Image 490: Predicted - Bujurquina, Actual - Bujurquina
Image 491: Predicted - Bujurquina, Actual - Bujurquina
Image 492: Predicted - Bujurquina, Actual - Bujurquina
Image 493: Predicted - Bujurquina, Actual - Bujurquina
Image 494: Predicted - Bujurquina, Actual - Bujurquina
Image 495: Predicted - Bujurquina, Actual - Bujurquina
Image 496: Predicted - Bujurquina, Actual - Bujurquina
Image 497: Predicted - Bujurquina, Actual - Bujurquina
Image 498: Predicted - Bujurquina, Actual - Bujurquina
Image 499: Predicted - Bujurquina, Actual - Bujurquina
Image 500: Predicted - Bujurquina, Actual - Bujurquina
Image 501: Predicted - Bujurquina, Actual - Bujurquina
Image 502: Predicted - Bujurquina, Actual - Bujurquina
Image 503: Predicted - Bujurquina, Actual - Bujurquina
Image 504: Predicted - Bujurquina, Actual - Bujurquina
Image 505: Predicted - Bujurquina, Actual - Bujurquina
Image 506: Predicted - Bujurquina, Actual - Bujurquina
Image 507: Predicted - Bujurquina, Actual - Bujurquina
Image 508: Predicted - Bujurquina, Actual - Bujurquina
Image 509: Predicted - Bujurquina, Actual - Bujurquina
Image 510: Predicted - Apistogramma, Actual - Bujurquina
Image 511: Predicted - Apistogramma, Actual - Bujurquina
Image 512: Predicted - Bujurquina, Actual - Bujurquina
